car_model,price,year_model,kms
Volkswagen Jetta 1.4 Tsi Comfortline,$90.000.000,2022,2.900
Volkswagen Jetta 1.4 Tsi Highline,$79.000.000,2020,51.000
Volkswagen Jetta 2.0 Trendline 4 p,$40.900.000,2015,103.000
Volkswagen Jetta 1.4 Tsi Sportline,$90.000.000,2019,9.235
Volkswagen Jetta 2.0 Europa,$35.000.000,2013,133.000
Volkswagen Jetta 2.5 Comfortline,$48.000.000,2014,71.538
Volkswagen Jetta 2.5 Comfortline,$48.000.000,2014,71.000
Volkswagen Jetta 2.0 Europa,$33.800.000,2011,54.000
Volkswagen Jetta 1.4 Tsi Sportline,$79.900.000,2019,53.024
Volkswagen Jetta Highline,$119.990.000,2024,0
Volkswagen Jetta 2.0 Trendline,$30.900.000,2011,125.000
Volkswagen Jetta Automático,$39.500.000,2013,115.000
Volkswagen Jetta TRENDLINE  2000CC MT AA,$35.000.000,2011,64.077
Volkswagen Jetta 2.0 Comfortline,$52.000.000,2016,69.000
Volkswagen Jetta 2.0 Gli,$116.000.000,2020,23.000
Volkswagen Jetta Trendline 2.0 Fe Aa,$33.800.000,2011,114.000
Volkswagen Jetta 1.8 Gli,$40.900.000,2012,112.400
Volkswagen Jetta 2.0 Trendline,$29.000.000,2010,143.000
Volkswagen Jetta 1.4 Tsi Comfortline,$72.000.000,2020,45.000
Volkswagen Jetta New Jetta,$44.900.000,2013,83.000
Volkswagen Jetta Comfortline 250 TSI AT,$120.990.000,2024,0
Volkswagen Jetta 2.0 Comfortline,$64.500.000,2020,49.620
Volkswagen Jetta new GLI 2.0 turbo AT,$115.800.000,2020,47.000
Volkswagen Jetta 2.0 Comfortline,$54.900.000,2016,104.400
Volkswagen Jetta 2.0 Trendline,$43.800.000,2016,86.000
Volkswagen Jetta 2.0 Trendline,$30.900.000,2013,123.500
Volkswagen Jetta 2.0 Trendline 5 p,$43.900.000,2014,98.000
Volkswagen Jetta 2.0 Trendline 4 p,$39.990.000,2015,75.000
Volkswagen Jetta 2.5 Comfortline,$38.900.000,2012,95.000
Volkswagen Jetta Trendline,$28.900.000,2007,72.415
Volkswagen Jetta Comfortline 2.5 Automatico,$55.900.000,2016,91.467
Volkswagen Jetta 2.0 Gli,$57.000.000,2013,91.900
Volkswagen Jetta DTM TRENDLINE 2.5,$40.900.000,2014,63.000
Volkswagen Jetta 2.0 Europa,$32.800.000,2013,79.900
Volkswagen Jetta 2.5 Trendline,$35.900.000,2012,140.200
Volkswagen New Jetta 2.5,$37.000.000,2011,139.000
Volkswagen Jetta Highline,$120.990.000,2023,0
Volkswagen Jetta 2.0 Europa,$33.990.000,2011,91.000
Volkswagen Jetta 2.0 Trendline,$27.600.000,2009,102.000
Volkswagen Jetta trendline 2.0,$55.000.000,2018,73.300
Volkswagen Jetta Trendline,$38.900.000,2012,102.700
Volkswagen Jetta 2.0 Trendline 4 p 115 hp,$34.900.000,2014,80.500
Volkswagen Jetta 2.0 Europa,$40.990.000,2015,90.000
Volkswagen Jetta Gli 1.6 B2+,$138.000.000,2020,40.000
Volkswagen Jetta Highline,$120.990.000,2024,0
Volkswagen Jetta 2.0 Trendline,$45.900.000,2016,107.000
Volkswagen Nuevo Jetta 2.5,$43.000.000,2013,124.300
Volkswagen Jetta 2.0 Trendline 5 p,$45.900.000,2015,87.096
Volkswagen Jetta highline 2.5,$56.000.000,2015,82.600
Volkswagen Jetta 1.8 Gli,$49.000.000,2014,115.000
Volkswagen Jetta High Line,$120.990.000,2023,0
Volkswagen Jetta 2.0 Trendline,$28.399.000,2011,131.000
Volkswagen Jetta 2.0 Gli,$199.900.000,2023,7.500
Volkswagen Jetta 2.0 mt trendline,$31.000.000,2011,125.062
Volkswagen Jetta 1.8 Gli,$42.900.000,2013,76.000
Volkswagen Jetta 2.5 Comfortline,$38.000.000,2012,93.000
Volkswagen Jetta 1.4 Tsi Sportline,$79.900.000,2019,71.000
Volkswagen Nuevo Jetta 2.5,$45.000.000,2014,126.500
Volkswagen Jetta Gli Cc1800 Automatico ,$41.500.000,2010,98.500
Volkswagen Jetta 2.0 Cc2000 Automatico,$26.900.000,2009,140.000
Volkswagen Jetta 2.0,$30.000.000,2009,141.500
Volkswagen Jetta 2.0,$26.800.000,2007,105.300
Volkswagen Jetta 2.0 Trendline,$46.900.000,2017,58.000
Volkswagen Jetta 2.0 Comfortline,$52.000.000,2016,52.500
Volkswagen Jetta gli 1.8,$45.000.000,2014,77.500
Volkswagen Jetta europea 2.0,$31.000.000,2013,135.500
Volkswagen Jetta 2.0 Trendline,$58.900.000,2018,74.900
Volkswagen Jetta 2.0 Gli,$107.900.000,2018,66.000
Volkswagen Jetta 1.4 Tsi Comfortline,$64.500.000,2020,50.000
Volkswagen Jetta 2.5 Comfortline,$49.900.000,2014,96.000
Volkswagen Jetta 2.0 Europa,$31.900.000,2014,122.000
Volkswagen Jetta 2.5 Trendline,$44.900.000,2013,76.000
Volkswagen Jetta 2.0 Trendline,$27.000.000,2009,103.000
Volkswagen Jetta 2.0 Gli,$59.000.000,2014,119.200
Volkswagen Jetta 1.4 Comfortline Automatico,$77.900.000,2020,52.974
Volkswagen Jetta 2.0 Europa,$38.700.000,2014,136.000
Volkswagen Jetta Trendline Mec  2.0L,$43.900.000,2012,109.531
Volkswagen Jetta 1.4 Tsi Comfortline,$97.990.000,2023,4.000
Volkswagen Jetta 1.4 Tsi Comfortline,$68.700.000,2019,57.500
Volkswagen Jetta 2.5 Comfortline,$43.000.000,2011,89.292
Volkswagen Jetta 2.0 Gli,$56.900.000,2013,94.728
Volkswagen Jetta 2.0 Trendline,$27.000.000,2008,124.000
Volkswagen Jetta 2.5 Highline,$52.900.000,2015,85.000
Volkswagen Jetta 2.5 Comfortline,$48.000.000,2014,69.500
Volkswagen Jetta 1.4 Tsi Highline,$79.900.000,2020,30.500
Volkswagen Jetta 2.0 Trenline,$21.900.000,2006,116.000
Volkswagen Jetta 2.0 Trendline,$29.000.000,2010,143.000
Volkswagen Jetta 2.0 Trendline,$25.500.000,2008,110.000
Volkswagen Jetta 2.0 Trendline,$31.500.000,2009,93.000
Volkswagen Jetta 2.5 Comfortline,$69.800.000,2016,115.100
Volkswagen Jetta 2.5 Comfortline,$43.000.000,2013,85.000
Volkswagen Jetta 2.0 Gli,$115.000.000,2020,54.000
Volkswagen Jetta 1.4 Tsi Highline,$99.900.000,2022,25.000
Volkswagen Jetta 2.0 Trendline,$35.990.000,2013,103.000
Volkswagen Jetta Comfortline TSI,$68.900.000,2019,63.320
Volkswagen Jetta 1.8 Gli,$45.000.000,2014,103.000
Volkswagen Jetta 1.8 Gli,$47.900.000,2014,62.000
Volkswagen Jetta 2.0 Gli 211 hp,$75.000.000,2016,62.000
Volkswagen Jetta 1.4 Tsi Comfortline,$99.900.000,2023,8.800
Volkswagen Jetta 2.0 Trendline,$23.500.000,2006,138.000
Volkswagen Jetta 2.0 Gli,$120.000.000,2020,41.000
Volkswagen Jetta 2.0 Europa,$34.900.000,2013,98.000
Volkswagen Jetta 2.0 Europa,$40.900.000,2015,73.000
Volkswagen Jetta 2.0 Trendline,$31.900.000,2013,123.500
Volkswagen Jetta 2.0 Trendline,$51.900.000,2017,56.000
Volkswagen Jetta 2.5 Trendline At,$44.900.000,2014,125.000
Volkswagen Jetta 2.0 Trendline,$32.900.000,2013,67.000
Volkswagen Jetta 2.0 Trendline,$45.800.000,2012,56.000
Volkswagen Jetta 2.0 Europa,$32.900.000,2011,63.000
Volkswagen Jetta 2.5 Comfortline,$46.900.000,2013,118.000
Volkswagen Jetta 1.4 Tsi R-line,$71.900.000,2019,39.000
Volkswagen Jetta 2.0 Trendline,$27.900.000,2010,110.000
Volkswagen Jetta 2.5 AT COMFORTLINE,$39.900.000,2012,126.000
Volkswagen Jetta 1.8 Gli,$41.900.000,2012,89.000
Volkswagen Jetta 1.4 Tsi Highline,$75.000.000,2019,68.000
Volkswagen Jetta 1.8 Gli,$41.900.000,2012,80.000
Volkswagen Jetta 2.0 Trendline,$32.900.000,2011,106.000
Volkswagen Jetta Jetta trendline mec,$25.900.000,2008,128.000
"Volkswagen Jetta Nuevo Jetta 2,5 Mt 2014",$39.900.000,2014,120.000
Volkswagen Jetta 1.8 Gli,$39.900.000,2012,101.707
Volkswagen Jetta 2.0 Gli,$61.000.000,2014,74.788
Volkswagen Jetta 1.4 Tsi Comfortline,$92.900.000,2022,5.600
Volkswagen Jetta Jetta Highline At,$120.500.000,2024,0
Volkswagen Jetta 1.4 Tsi Comfortline,$66.500.000,2020,53.000
Volkswagen Jetta 2.0 Gli,$59.900.000,2013,90.000
Volkswagen Jetta 1.8 Gli,$48.000.000,2014,120.210
Volkswagen Jetta 2.0 TRENDLINE MECANICO,$54.500.000,2017,56.700
Volkswagen Jetta 2.0 Trendline,$32.900.000,2012,117.000
Volkswagen Jetta 2.0 Trendline 5 p,$37.000.000,2014,112.000
Volkswagen Jetta 2.0,$29.800.000,2011,154.700
Volkswagen Jetta 1.8 Gli,$42.900.000,2013,99.000
Volkswagen Jetta 2.0 Europa,$35.000.000,2015,76.000
Volkswagen Jetta 2.5 Comfortline,$42.900.000,2012,98.702
Volkswagen Jetta 2.0 trendline full,$25.900.000,2008,129.000
Volkswagen Jetta Nuevo Jetta 2.5,$35.800.000,2011,122.000
Volkswagen Jetta 2.0 Gli 211 hp,$90.000.000,2016,31.000
Volkswagen Jetta 2.5 Highline,$51.990.000,2017,108.000
Volkswagen Jetta 1.4 Tsi Comfortline,$69.500.000,2020,24.200
Volkswagen Jetta 2.0 Gli,$77.900.000,2014,90.000
Volkswagen Jetta 1.4 Tsi Highline,$118.000.000,2023,0
Volkswagen Jetta 1.8 Gli,$36.000.000,2011,96.000
Volkswagen Jetta 2.0 Trendline,$22.500.000,2006,140.000
Volkswagen Jetta 1.4 Tsi Comfortline,$64.900.000,2019,85.000
Volkswagen Jetta Comfortline,$107.990.000,2023,0
Volkswagen Jetta 2.5 Comfortline,$39.500.000,2012,89.000
Volkswagen Jetta 2.0 Trendline,$27.800.000,2008,111.000
Volkswagen Jetta 2.0 Comfortline,$54.800.000,2015,30.069
Volkswagen Jetta Highline,$79.900.000,2020,34.700
Volkswagen Jetta 1.4 Tsi Comfortline,$69.500.000,2020,44.000
Volkswagen Jetta 2.5 Comfortline,$36.900.000,2015,105.000
Volkswagen Jetta 2.0 Trendline,$27.900.000,2011,142.000
Volkswagen Jetta 1.8 Gli,$39.900.000,2011,70.000
Volkswagen Jetta 1.8 Gli,$34.500.000,2010,93.201
Volkswagen Jetta 2.0 Europa,$29.500.000,2012,100.000
Volkswagen Jetta Comforline,$29.900.000,2009,101.000
Volkswagen New Jetta 2.0 Trendline,$43.900.000,2016,89.000
Volkswagen Jetta 2.0 Comfortline,$46.000.000,2015,83.878
Volkswagen Jetta 1.4 Tsi Highline,$76.000.000,2019,59.000
Volkswagen Jetta 2.5 Trendline,$47.800.000,2013,79.581
Volkswagen Jetta 1.8 Gli,$35.800.000,2012,93.000
Volkswagen Jetta 2.0 Wolfsburg,$29.900.000,2009,140.000
Volkswagen Jetta 2.0 Gli,$56.500.000,2013,63.000
Volkswagen Jetta 2.0 Trendline,$35.000.000,2013,37.300
Volkswagen Jetta 2.0 Automatico,$43.000.000,2014,80.000
Volkswagen Jetta 2.0 Europa,$31.500.000,2012,123.000
Volkswagen Jetta 1.4 Tsi Highline,$80.500.000,2019,49.000
Volkswagen Jetta 2.0 Gli 200 hp,$105.000.000,2016,70.000
Volkswagen Jetta 2.0 Europa,$29.300.000,2011,120.000
Volkswagen Jetta WOLFSBURG,$35.000.000,2009,106.262
Volkswagen Jetta 1.4 Tsi Comfortline,$69.000.000,2020,49.000
Volkswagen Jetta JETTA TRENDLINE,$32.800.000,2011,181.336
Volkswagen Jetta 2.5 Trendline,$46.900.000,2013,84.000
Volkswagen Jetta 1.8 Gli,$37.900.000,2012,117.100
Volkswagen Jetta 2.0 Europa,$33.000.000,2014,108.300
Volkswagen Jetta 2.5 Comfortline,$46.000.000,2014,56.000
Volkswagen Jetta 2.0 Europa,$32.000.000,2011,115.000
Volkswagen Jetta 2.5 Trendline,$42.500.000,2014,61.000
Volkswagen Jetta 2.0 Europa,$26.800.000,2010,140.000
Volkswagen Jetta 2.0 Europa,$32.000.000,2012,72.200
Volkswagen Jetta 2.0 Trendline,$28.900.000,2009,149.600
Volkswagen Jetta 2.0 Trendline,$25.000.000,2007,131.000
Volkswagen Jetta 2.0 Trendline At,$34.900.000,2013,74.000
Volkswagen Jetta 1.8 Comfortline,$32.500.000,2008,98.000
Volkswagen Jetta 2.0 Trendline,$33.000.000,2012,117.000
Volkswagen Jetta 2.0 Trendline,$56.000.000,2018,20.000
Volkswagen Jetta 1.4 Tsi Sportline,$79.900.000,2019,70.000
Volkswagen Jetta 2.0 Trendline 4 p 115 hp,$45.000.000,2014,112.000
Volkswagen Jetta 2.0 Trendline,$28.500.000,2011,92.000
Volkswagen Jetta 2.0 Trendline,$24.990.000,2006,100.000
Volkswagen Jetta 2.5 Comfortline,$35.990.000,2014,105.900
Volkswagen Jetta Europa 2.0 Automatico Sedan Full Equipo,$34.990.000,2015,80.000
Volkswagen Jetta 2.0 Europa,$40.900.000,2014,80.000
Volkswagen Jetta 2.0 Europa,$35.000.000,2011,82.000
Volkswagen Jetta 2.5 Trendline,$45.000.000,2014,86.100
Volkswagen Jetta 2.0 Gli,$120.000.000,2020,33.000
Volkswagen Jetta 1.4 Tsi Sportline,$74.000.000,2019,91.255
Volkswagen Jetta 1.4 Tsi Comfortline,$74.900.000,2020,48.500
Volkswagen Jetta 2.0 Trendline,$51.000.000,2017,116.000
Volkswagen Jetta 2.0 Trendline,$24.800.000,2007,134.000
Volkswagen Jetta 1.4 Highline,$74.900.000,2020,44.900
Volkswagen Jetta 2.0 Trendline,$53.800.000,2018,68.200
Volkswagen Jetta 2.0 Trendline,$35.000.000,2013,126.060
Volkswagen Jetta sportline,$77.900.000,2020,48.700
Volkswagen Jetta 1.8 Gli,$40.900.000,2012,86.000
Volkswagen Jetta 2.0 Europa,$32.000.000,2013,97.000
Volkswagen Jetta 2.0 Comfortline,$41.900.000,2015,70.500
Volkswagen Jetta 2.0 Trendline,$59.900.000,2018,52.000
Volkswagen Jetta 2.5 Trendline,$41.000.000,2014,145.000
Volkswagen Jetta 2.0 Trendline,$28.900.000,2010,112.000
Volkswagen Jetta 2.0 Trendline,$32.900.000,2012,63.000
Volkswagen Jetta 2.0 gli B2+,$65.900.000,2013,92.000
Volkswagen Jetta Tredline,$24.900.000,2006,98.433
Volkswagen Jetta 2.5 Trendline,$46.600.000,2014,65.000
Volkswagen Jetta Europa Mt,$33.490.000,2014,128.000
Volkswagen Jetta 2.0 Trendline,$60.900.000,2018,34.353
Volkswagen Jetta 2.0 Trendline,$38.000.000,2013,100.000
Volkswagen Jetta 1.8 Comfortline,$38.000.000,2010,109.000
Volkswagen Jetta Classic,$42.000.000,2015,72.000
Volkswaguen New Jetta Gli,$56.500.000,2013,95.000
Volkswagen,$51.990.000,2016,75.000
Volkswagen Jetta Nuevo Jetta,$39.900.000,2014,130.000
Volkswagen Jetta 2.0 Europa,$38.000.000,2015,63.000
Volkswagen Jetta 2.0 Trendline 4 p,$39.000.000,2015,101.000
Volkswagen Jetta 2.0 Trendline,$28.000.000,2009,218.699
Volkswagen Jetta 2.0 Trendline,$33.000.000,2011,97.000
Volkswagen Jetta 1.4 Tsi Comfortline,$66.000.000,2019,60.000
Volkswagen Jetta 2.0 Europa,$33.900.000,2015,107.000
Volkswagen Jetta Comfortline,$71.000.000,2019,47.100
Volkswagen Jetta 2.0 Europa,$34.800.000,2015,102.000
Volkswagen Jetta 2.5 Comfortline,$40.800.000,2013,102.000
Volkswagen Jetta 2.0 Europa,$37.900.000,2015,83.000
Volkswagen Jetta 2.0 Mecanico,$31.000.000,2011,146.000
Volkswagen Jetta 2.0 Trendline,$30.000.000,2009,115.000
Volkswagen Jetta 1.8 Gli,$46.500.000,2014,89.000
Volkswagen Jetta 2.5 Comfortline,$42.900.000,2013,149.000
Volkswagen New Jetta 2.5 Aut,$41.500.000,2012,65.000
Volkswagen Jetta 2.0,$35.200.000,2015,99.000
Volkswagen Jetta 2.0 Europa,$30.500.000,2011,111.000
Volkswagen Jetta 2.5 Comfortline,$45.600.000,2014,75.000
Volkswagen Jetta 2.0 Europa,$33.000.000,2014,75.000
Volkswagen Jetta 2.0 Trendline,$19.800.000,2006,215.000
Volkswagen Jetta 2.0 Trendline,$27.900.000,2009,170.000
Volkswagen Jetta 2.0 GLI blindado,$119.900.000,2018,18.300
Volkswagen Jetta 2.0 Gli,$135.000.000,2022,5.388
Volkswagen Jetta 2.0 Trendline,$31.900.000,2008,108.690
Volkswagen Jetta 1.4 Tsi Highline,$82.000.000,2019,56.000
Volkswagen Jetta 2.0 Trendline,$27.500.000,2008,166.000
Volkswagen Jetta trendline 2.0 at,$31.000.000,2009,76.000
Volkswagen Jetta 2.0 Trendline,$30.000.000,2011,159.000
Volkswagen Jetta 2.0 Europa,$36.000.000,2014,60.150
Volkswagen Jetta 2.5 Comfortline,$42.500.000,2012,126.000
Volkswagen Jetta 2.0 Europa,$41.000.000,2015,75.000
Volkswagen Jetta 2.0 Trendline 4 p,$37.000.000,2015,120.000
Volkswagen Jetta 1.4 Tsi Highline,$95.400.000,2022,38.000
Volkswagen Jetta 2.0 Gli 200 hp,$71.000.000,2016,62.000
Volkswagen Jetta 2.0 Europa,$38.600.000,2015,53.270
Volkswagen Jetta 1.4 Tsi Comfortline,$73.500.000,2020,32.000
Volkswagen Jetta 2.0 Trendline 4 p,$41.500.000,2015,84.000
Volkswagen Jetta 2.0 Europa,$35.800.000,2014,78.000
Volkswagen Jetta 1.4 Tsi Comfortline,$65.800.000,2020,46.000
Volkswagen Jetta 1.8 Gli,$52.000.000,2014,96.000
Volkswagen Jetta 2.5 Trendline,$44.000.000,2012,68.500
Volkswagen Jetta 2.5 Comfortline,$45.000.000,2013,133.000
Volkswagen Jetta treindland,$26.000.000,2010,165.000
Volkswagen Jetta 2.0 Trendline,$34.990.000,2011,99.000
Volkswagen Jetta 2.0 Trendline,$35.000.000,2013,155.000
Volkswagen Jetta 2.0 Gli,$57.000.000,2013,90.000
Volkswagen Jetta 2.0 Gl,$21.000.000,2005,150.000
Volkswagen Jetta 2.0 Europa,$37.500.000,2014,81.100
Volkswagen Jetta 2.5 Trendline,$46.800.000,2014,84.670
Volkswagen Jetta 2.0 Gli 200 hp,$82.000.000,2016,30.600
Volkswagen Jetta 2.0 Trendline,$44.000.000,2016,84.000
Volkswagen Jetta 1.4 Tsi Highline,$80.000.000,2019,36.750
Volkswagen Jetta 2.0 Trendline,$23.000.000,2006,158.000
Volkswagen Jetta 2.0 Europa,$26.000.000,2009,160.000
Volkswagen Jetta 2.5 Trendline,$39.700.000,2012,124.000
Volkswagen Jetta 1.4 Tsi Highline,$99.900.000,2022,23.000
Volkswagen Jetta 2.0 Trendline,$32.000.000,2011,100.600
Volkswagen Jetta 2.0 Trendline,$28.000.000,2007,136.000
Volkswagen Jetta 2.0 Europa,$26.500.000,2008,150.000
